datasetid,doi,status_code,doi_in_crossref
41892,10.1016/0033-5894(75)90013-7,200,True
41893,10.1016/0033-5894(75)90013-7,200,True
41894,10.1016/0033-5894(75)90013-7,200,True
41895,10.1016/0033-5894(75)90013-7,200,True
41896,10.1016/0033-5894(75)90013-7,200,True
41897,10.1016/0033-5894(75)90013-7,200,True
41898,10.1016/0033-5894(75)90013-7,200,True
41899,10.1016/0033-5894(75)90013-7,200,True
41900,10.1016/0033-5894(75)90013-7,200,True
41901,10.1016/0033-5894(75)90013-7,200,True
41902,10.1016/0033-5894(75)90013-7,200,True
204,10.2475/ajs.262.9.1075,200,True
972,10.2475/ajs.256.8.540,200,True
3789,10.2475/ajs.256.8.540,200,True
3790,10.2475/ajs.256.8.540,200,True
1650,10.1139/b85-070,200,True
1769,10.1139/b85-070,200,True
850,10.1111/j.1469-8137.1983.tb03434.x,200,True
3030,10.1111/j.1469-8137.1983.tb03434.x,200,True
3031,10.1111/j.1469-8137.1983.tb03434.x,200,True
8757,10.1111/j.1469-8137.1983.tb03434.x,200,True
275,10.2307/2259121,200,True
1794,10.2307/2259121,200,True
1831,10.2307/2259121,200,True
2956,10.2307/2259121,200,True
7929,10.2307/2259121,200,True
1826,10.1016/0033-5894(77)90074-6,200,True
3141,10.1130/0016-7606(1978)89<1719:NEOTHO>2.0.CO;2,200,True
1010,10.7202/032476ar,200,True
2610,10.7202/032476ar,200,True
1701,10.1139/e78-116,200,True
16110,10.2307/1943006,200,True
16111,10.2307/1943006,200,True
16112,10.2307/1943006,200,True
16113,10.2307/1943006,200,True
1640,10.1139/e75-024,200,True
3058,10.1139/e75-024,200,True
3775,10.1139/e75-024,200,True
974,10.1016/0034-6667(75)90040-8,200,True
3125,10.1139/b69-192,200,True
41954,10.1139/e75-026,200,True
3059,10.1016/0033-5894(78)90013-3,200,True
3131,10.1016/0033-5894(78)90013-3,200,True
1824,10.1016/0033-5894(79)90034-6,200,True
1776,10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2,200,True
2928,10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2,200,True
2929,10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2,200,True
2930,10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2,200,True
2931,10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2,200,True
2932,10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2,200,True
2933,10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2,200,True
2934,10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2,200,True
2935,10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2,200,True
3833,10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2,200,True
8418,10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2,200,True
42004,10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2,200,True
295,10.2307/1933597,200,True
2006,10.2307/1933597,200,True
3473,10.2307/2424199,200,True
699,10.2307/1942212,200,True
770,10.2307/1942212,200,True
3119,10.2307/1942212,200,True
3120,10.2307/1942212,200,True
771,10.2307/2937324,200,True
3582,10.2307/2937324,200,True
1520,10.1130/0016-7606(1963)74[1371:TPDFSM]2.0.CO;2,200,True
1588,10.1130/0016-7606(1963)74[1371:TPDFSM]2.0.CO;2,200,True
3455,10.1130/0016-7606(1963)74[1371:TPDFSM]2.0.CO;2,200,True
1625,10.7202/032567ar,200,True
1626,10.7202/032567ar,200,True
2670,10.7202/032567ar,200,True
2671,10.7202/032567ar,200,True
308,10.7202/1000060ar,200,True
773,10.7202/1000060ar,200,True
1569,10.7202/1000060ar,200,True
2639,10.7202/1000060ar,200,True
2886,10.7202/1000060ar,200,True
257,10.7202/1000324ar,200,True
258,10.7202/1000324ar,200,True
370,10.7202/1000324ar,200,True
371,10.7202/1000324ar,200,True
372,10.7202/1000324ar,200,True
373,10.7202/1000324ar,200,True
988,10.7202/1000324ar,200,True
989,10.7202/1000324ar,200,True
1436,10.7202/1000324ar,200,True
1437,10.7202/1000324ar,200,True
1648,10.1130/0091-7613(1975)3<344:ALQROV>2.0.CO;2,200,True
41954,10.1016/0033-5894(74)90019-2,200,True
1669,10.2307/1934159,200,True
1776,10.2307/1934159,200,True
2349,10.2307/1934159,200,True
3484,10.2307/1934159,200,True
3542,10.1130/0016-7606(1968)79[855:PSAMAO]2.0.CO;2,200,True
1633,10.1016/0033-5894(88)90087-7,200,True
8330,10.1016/0033-5894(88)90087-7,200,True
352,10.1017/S0033822200036936,200,True
347,10.1017/S0033822200000333,200,True
803,10.1017/S0033822200000333,200,True
1684,10.1017/S0033822200000333,200,True
8782,10.1017/S0033822200000333,200,True
